,def100,tot200,off100,Possessions,year,name
467,-3.3,-5.9,-2.7,2190.0,2013.0,Doron Lamb
476,-2.8,-5.9,-3.1,4751.0,2012.0,Norris Cole
466,-3.4,-5.8,-2.4,2366.0,2013.0,Jeremy Pargo
440,-3.7,-5.6,-1.8,3619.0,2009.0,Bobby Brown
437,-1.6,-5.4,-3.8,2184.0,2001.0,Dragan Tarlac
448,-2.7,-5.4,-2.7,1245.0,2006.0,Sergei Monia
463,-1.7,-5.2,-3.5,3374.0,2013.0,Will Barton
433,-0.2,-5.2,-5.0,2363.0,2002.0,Eric Montross
430,-1.3,-5.0,-3.7,6456.0,2001.0,John Amaechi
460,-2.1,-5.0,-2.9,1410.0,2013.0,Marquis Teague
428,-1.9,-4.8,-2.9,1124.0,2009.0,Sean Singletary
423,-2.6,-4.8,-2.2,1689.0,2001.0,David Benoit
429,-3.0,-4.8,-1.8,4886.0,2002.0,Courtney Alexander
430,-3.4,-4.8,-1.4,1877.0,2002.0,John Wallace
426,-0.8,-4.8,-4.0,2393.0,2001.0,Otis Thorpe
425,-1.9,-4.8,-2.9,3420.0,2001.0,Roshown McLeod
408,-2.3,-4.7,-2.4,4657.0,2003.0,Mike Batiste
447,-0.7,-4.6,-3.9,820.0,2005.0,Michael Curry
425,-1.8,-4.6,-2.8,5094.0,2002.0,Hanno Mottola
460,-2.2,-4.6,-2.3,1350.0,2012.0,Walker Russell
447,-3.6,-4.5,-0.9,3512.0,2013.0,John Jenkins
451,-2.3,-4.5,-2.3,5102.0,2013.0,Austin Rivers
448,-3.1,-4.5,-1.4,48.0,2013.0,Andrew Goudelock
417,-0.3,-4.5,-4.2,1345.0,2001.0,Duane Causwell
418,-2.9,-4.5,-1.6,2487.0,2001.0,Vernon Maxwell
449,-3.2,-4.5,-1.3,2732.0,2013.0,Kendall Marshall
416,-0.9,-4.4,-3.5,2063.0,2001.0,Loy Vaught
440,-2.6,-4.4,-1.9,3179.0,2007.0,David Noel
440,-2.7,-4.3,-1.6,4568.0,2013.0,Terrence Ross
422,-2.7,-4.3,-1.5,1217.0,2010.0,Jermaine Taylor
418,-2.3,-4.3,-1.9,2710.0,2002.0,Sam Mitchell
437,-2.6,-4.2,-1.6,1534.0,2013.0,Kim English
434,-0.6,-4.1,-3.6,1765.0,2013.0,Joel Freeland
435,-2.1,-4.1,-2.0,980.0,2013.0,Donald Sloan
436,-0.5,-4.1,-3.6,5378.0,2013.0,Earl Clark
432,-2.3,-4.1,-1.8,3401.0,2013.0,MarShon Brooks
425,-3.6,-4.1,-0.5,1547.0,2008.0,Salim Stoudamire
429,-2.1,-4.1,-2.0,3079.0,2013.0,DeQuan Jones
431,-1.8,-4.1,-2.3,3048.0,2013.0,Victor Claver
424,-2.6,-4.0,-1.4,1481.0,2005.0,Lionel Chalmers
411,-2.4,-4.0,-1.6,1540.0,2006.0,Josh Powell
416,-1.8,-4.0,-2.2,498.0,2010.0,Darnell Jackson
452,-2.1,-3.9,-1.8,3497.0,2012.0,Charles Jenkins
403,-1.9,-3.9,-2.0,596.0,2004.0,Bimbo Coles
400,-2.3,-3.9,-1.5,1905.0,2004.0,Travis Hansen
421,-1.3,-3.8,-2.6,3601.0,2013.0,Nando De Colo
397,-2.4,-3.8,-1.4,7730.0,2001.0,Johnny Newman
411,-2.9,-3.8,-0.9,9439.0,2010.0,Jonny Flynn
409,-2.2,-3.8,-1.6,931.0,2010.0,Adam Morrison
416,-2.2,-3.8,-1.6,1507.0,2007.0,Quincy Douby
382,-1.9,-3.8,-1.9,337.0,2003.0,Antoine Rigaudeau
447,-1.1,-3.7,-2.7,1232.0,2012.0,E'Twaun Moore
417,-3.4,-3.7,-0.3,4715.0,2013.0,Brian Roberts
415,-3.1,-3.7,-0.6,2126.0,2013.0,Donatas Motiejunas
395,-3.8,-3.7,0.1,1822.0,2001.0,Mahmoud Abdul-Rauf
412,-1.7,-3.7,-2.0,672.0,2007.0,Pat Burke
408,-4.9,-3.6,1.4,3719.0,2013.0,Jimmer Fredette
411,-1.8,-3.6,-1.8,126.0,2013.0,Cory Higgins
412,-0.9,-3.6,-2.7,2509.0,2013.0,Darius Miller
390,-1.8,-3.6,-1.8,824.0,2001.0,Kornel David
391,-0.8,-3.6,-2.7,2676.0,2001.0,Gerard King
392,-1.6,-3.6,-2.0,619.0,2001.0,Doug West
406,-1.8,-3.5,-1.7,1022.0,2013.0,Tony Wroten
402,-2.4,-3.5,-1.1,1855.0,2013.0,Mirza Teletovic
388,-2.8,-3.5,-0.7,7803.0,2001.0,John Starks
382,-1.6,-3.4,-1.7,389.0,2006.0,Nikoloz Tskitishvili
385,-1.3,-3.4,-2.1,105.0,2002.0,Greg Foster
401,-0.8,-3.4,-2.7,7467.0,2013.0,Maurice Harkless
398,-1.0,-3.4,-2.4,4015.0,2013.0,Thomas Robinson
396,-1.9,-3.4,-1.4,2290.0,2013.0,Orlando Johnson
387,-2.8,-3.4,-0.6,9193.0,2001.0,Ron Mercer
403,-2.1,-3.4,-1.3,3511.0,2011.0,Eugene Jeter
397,-3.4,-3.4,-0.0,6465.0,2011.0,Gary Neal
390,-1.7,-3.3,-1.6,1793.0,2005.0,Zoran Planinic
393,-1.2,-3.3,-2.1,4527.0,2013.0,Meyers Leonard
392,-2.0,-3.3,-1.3,204.0,2013.0,Kevin Murphy
391,-2.0,-3.3,-1.3,550.0,2013.0,Jeremy Lamb
360,-2.0,-3.3,-1.3,554.0,2003.0,Efthimi Rentzias
394,-2.2,-3.3,-1.2,824.0,2013.0,Tyshawn Taylor
373,-1.6,-3.3,-1.8,549.0,2004.0,Rodney Buford
371,0.0,-3.3,-3.3,8359.0,2004.0,Trenton Hassell
375,-1.7,-3.3,-1.6,466.0,2006.0,Willie Green
389,1.6,-3.3,-4.9,5286.0,2008.0,Johan Petro
391,-1.8,-3.3,-1.6,2951.0,2009.0,Mike Taylor
389,-2.1,-3.3,-1.2,123.0,2009.0,Sun Yue
376,-2.3,-3.2,-0.9,4368.0,2001.0,Chris Porter
377,-2.3,-3.2,-0.9,3456.0,2001.0,Khalid El-Amin
378,-1.2,-3.2,-2.1,2399.0,2001.0,Kevin Edwards
372,-2.1,-3.2,-1.1,531.0,2006.0,Boniface N'Dong
