,Name,year,Possessions,off100,def100,tot200,Unnamed: 0
0,Doron Lamb,2013,2190,-2.7,-3.3,-5.9,467
1,Norris Cole,2012,4751,-3.1,-2.8,-5.9,476
2,Jeremy Pargo,2013,2366,-2.4,-3.4,-5.8,466
3,Bobby Brown,2009,3619,-1.8,-3.7,-5.6,440
4,Dragan Tarlac,2001,2184,-3.8,-1.6,-5.4,437
5,Sergei Monia,2006,1245,-2.7,-2.7,-5.4,448
6,Will Barton,2013,3374,-3.5,-1.7,-5.2,463
7,Eric Montross,2002,2363,-5.0,-0.2,-5.2,433
8,John Amaechi,2001,6456,-3.7,-1.3,-5.0,430
9,Marquis Teague,2013,1410,-2.9,-2.1,-5.0,460
10,Sean Singletary,2009,1124,-2.9,-1.9,-4.8,428
11,David Benoit,2001,1689,-2.2,-2.6,-4.8,423
12,Courtney Alexander,2002,4886,-1.8,-3.0,-4.8,429
13,John Wallace,2002,1877,-1.4,-3.4,-4.8,430
14,Otis Thorpe,2001,2393,-4.0,-0.8,-4.8,426
15,Roshown McLeod,2001,3420,-2.9,-1.9,-4.8,425
16,Mike Batiste,2003,4657,-2.4,-2.3,-4.7,408
17,Michael Curry,2005,820,-3.9,-0.7,-4.6,447
18,Hanno Mottola,2002,5094,-2.8,-1.8,-4.6,425
19,Walker Russell,2012,1350,-2.3,-2.2,-4.6,460
20,John Jenkins,2013,3512,-0.9,-3.6,-4.5,447
21,Austin Rivers,2013,5102,-2.3,-2.3,-4.5,451
22,Andrew Goudelock,2013,48,-1.4,-3.1,-4.5,448
23,Duane Causwell,2001,1345,-4.2,-0.3,-4.5,417
24,Vernon Maxwell,2001,2487,-1.6,-2.9,-4.5,418
25,Kendall Marshall,2013,2732,-1.3,-3.2,-4.5,449
26,Loy Vaught,2001,2063,-3.5,-0.9,-4.4,416
27,David Noel,2007,3179,-1.9,-2.6,-4.4,440
28,Terrence Ross,2013,4568,-1.6,-2.7,-4.3,440
29,Jermaine Taylor,2010,1217,-1.5,-2.7,-4.3,422
30,Sam Mitchell,2002,2710,-1.9,-2.3,-4.3,418
31,Kim English,2013,1534,-1.6,-2.6,-4.2,437
32,Joel Freeland,2013,1765,-3.6,-0.6,-4.1,434
33,Donald Sloan,2013,980,-2.0,-2.1,-4.1,435
34,Earl Clark,2013,5378,-3.6,-0.5,-4.1,436
35,MarShon Brooks,2013,3401,-1.8,-2.3,-4.1,432
36,Salim Stoudamire,2008,1547,-0.5,-3.6,-4.1,425
37,DeQuan Jones,2013,3079,-2.0,-2.1,-4.1,429
38,Victor Claver,2013,3048,-2.3,-1.8,-4.1,431
39,Lionel Chalmers,2005,1481,-1.4,-2.6,-4.0,424
40,Josh Powell,2006,1540,-1.6,-2.4,-4.0,411
41,Darnell Jackson,2010,498,-2.2,-1.8,-4.0,416
42,Charles Jenkins,2012,3497,-1.8,-2.1,-3.9,452
43,Bimbo Coles,2004,596,-2.0,-1.9,-3.9,403
44,Travis Hansen,2004,1905,-1.5,-2.3,-3.9,400
45,Nando De Colo,2013,3601,-2.6,-1.3,-3.8,421
46,Johnny Newman,2001,7730,-1.4,-2.4,-3.8,397
47,Jonny Flynn,2010,9439,-0.9,-2.9,-3.8,411
