,Name,Team,pick,age,pos,GP,Min,Pts,FG,FGA,FG%,2Pt,2PtA,2P%,3Pt,3PtA,3P%,FTM,FTA,FT%,Off,Def,TOT,Asts,Stls,Blks,TOs,PFs,year,PTs/g,FGA/g,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast/g,Ast/FGA,A/TO,PPR,BK/g,STL/g,PF/g,Weight,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,Max Vert,Bench,Agility,Sprint,Drafted,heightshoes,heightbare,wingspan,standvertreach,maxvertreach
0,John Salmons,Miami FL,26.0,23.0,,32,33.7,15.1,4.9,10.7,46.1,4.1,8.1,50.9,0.8,2.6,31.0,4.4,5.2,84.2,2.1,4.7,6.9,7.0,2.0,0.7,4.3,2.7,2002,13.1,9.3,0.86,0.57,0.5,0.49,0.24,6.1,0.66,1.64,0.9,0.6,1.8,2.3,207.0,104.0,,,,30.5,34.5,12.0,11.35,3.25,26,79.0,77.5,82.25,14.5,18.5
1,Robert Archibald,Illinois,31.0,22.0,,34,22.6,18.7,5.9,8.9,65.9,5.9,8.9,66.3,0.0,0.1,0.0,6.9,10.6,65.4,3.6,6.1,9.7,2.3,1.3,2.0,3.5,6.3,2002,10.6,5.1,1.08,0.67,0.66,1.18,0.01,1.3,0.25,0.66,-4.94,1.1,0.7,3.6,250.0,109.5,,,,24.0,27.5,10.0,11.34,3.33,31,83.0,82.0,83.75,13.5,17.0
2,Marcus Haislip,Tennessee,13.0,22.0,,25,33.5,19.8,7.6,14.8,51.8,6.9,12.6,55.1,0.7,2.2,32.6,3.8,5.3,72.1,2.7,5.3,7.9,1.1,0.5,2.1,2.4,4.1,2002,16.7,12.4,1.01,0.57,0.54,0.36,0.15,1.0,0.08,0.47,-4.2,1.8,0.4,3.4,221.0,107.0,,,,33.5,36.5,8.0,11.35,3.21,13,81.75,80.5,84.0,20.5,23.5
3,Fred Jones,Oregon,14.0,23.0,,35,31.5,22.3,7.4,14.2,52.1,5.6,9.5,59.4,1.8,4.7,37.2,5.8,6.7,87.1,2.2,4.3,6.5,3.8,2.2,0.6,2.8,3.2,2002,18.6,11.8,1.11,0.64,0.58,0.47,0.33,3.2,0.27,1.35,-0.79,0.5,1.8,2.7,218.0,100.0,,,,33.5,37.5,,11.12,3.13,14,74.25,74.25,84.0,13.5,17.5
4,Maurice Baker,Oklahoma State,65.0,,,29,30.0,17.3,6.2,14.5,42.6,4.2,9.0,46.2,2.0,5.4,36.8,3.0,3.6,84.4,3.0,4.3,7.3,4.4,1.8,0.2,3.8,2.7,2002,12.9,10.8,0.87,0.54,0.5,0.25,0.38,3.3,0.3,1.17,-2.11,0.2,1.3,2.0,178.0,96.0,,,,29.5,33.0,2.0,12.19,3.29,No,73.0,71.75,76.0,17.5,21.0
5,Chris Wilcox,Maryland,8.0,20.0,,36,24.1,18.3,7.3,14.6,50.3,7.3,14.5,50.6,0.0,0.1,0.0,3.7,6.3,58.5,4.1,6.8,11.0,2.3,1.2,2.3,2.3,4.1,2002,11.9,9.5,0.93,0.52,0.5,0.43,0.01,1.5,0.15,1.0,-2.08,1.5,0.8,2.7,218.0,107.5,,,,31.0,34.5,20.0,11.43,3.16,8,81.5,80.25,85.0,18.5,22.0
6,Corsley Edwards,Central Conn.,57.0,23.0,,32,31.0,20.4,7.4,14.6,50.4,7.4,14.6,50.4,0.0,0.0,,5.7,7.4,76.1,5.3,6.1,11.4,1.2,1.8,2.0,2.9,3.2,2002,15.4,11.0,0.97,0.56,0.5,0.51,0.0,0.9,0.08,0.42,-5.16,1.5,1.4,2.4,285.0,106.5,,,,28.5,33.0,12.0,12.18,3.31,57,80.75,79.25,82.75,15.0,19.5
7,Darius Songaila,Wake Forest,49.0,24.0,,34,30.5,22.2,7.5,14.3,52.3,7.2,13.7,52.9,0.2,0.6,37.5,7.1,8.3,85.4,2.8,7.3,10.1,3.3,1.6,1.0,4.4,3.8,2002,17.9,11.5,0.99,0.61,0.53,0.58,0.04,2.6,0.23,0.75,-5.82,0.8,1.3,3.1,240.0,108.5,,,,24.5,29.5,8.0,11.69,3.52,49,81.5,80.0,85.0,13.0,18.0
8,Mike Dunleavy,Duke,3.0,22.0,,35,32.4,19.3,6.9,14.4,48.3,4.1,6.9,59.6,2.8,7.4,37.8,2.6,3.8,68.1,1.4,6.6,8.0,2.3,2.5,0.8,2.0,2.5,2002,17.3,12.9,1.06,0.6,0.58,0.26,0.52,2.1,0.16,1.16,-1.28,0.7,2.3,2.3,230.0,106.0,,,,24.5,29.0,11.0,11.55,3.3,3,81.5,80.0,81.0,22.5,15.0
9,Drew Gooden,Kansas,4.0,21.0,,37,30.3,23.1,8.9,17.8,50.4,8.6,16.6,51.9,0.3,1.1,27.8,4.8,6.4,75.5,4.0,9.3,13.3,2.3,2.0,1.6,3.4,2.9,2002,19.8,15.3,0.95,0.55,0.51,0.36,0.06,2.0,0.13,0.68,-5.34,1.4,1.7,2.5,227.0,106.5,,,,29.0,33.0,13.0,11.81,3.19,4,82.0,80.75,84.5,15.5,19.5
