,Name,Team,pick,age,pos,GP,Min,Pts,FG,FGA,FG%,2Pt,2PtA,2P%,3Pt,3PtA,3P%,FTM,FTA,FT%,Off,Def,TOT,Asts,Stls,Blks,TOs,PFs,year,PTs/g,FGA/g,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast/g,Ast/FGA,A/TO,PPR,BK/g,STL/g,PF/g,Weight,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,Max Vert,Bench,Agility,Sprint,Drafted,heightshoes,heightbare,wingspan,standvertreach,maxvertreach
1086,P.J. Hairston,North Carolina,24.0,22.0,SG,33,23.9,22.5,7.3,16.8,43.1,3.2,6.6,48.6,4.0,10.2,39.5,4.0,5.2,77.5,3.0,3.8,6.8,2.0,1.9,0.7,1.8,2.9,2013,14.7,11.0,1.07,0.59,0.55,0.31,0.61,1.3,0.12,1.11,-1.3,0.4,1.2,1.9,229.0,"8' 5""",8.2,8.75,9.75,32.0,37.0,,11.12,3.32,26,77.25,76.25,81.0,13.0,18.0
1161,Noah Vonleh,Indiana,10.0,19.0,PF/C,30,26.5,16.5,5.5,10.5,52.3,4.7,8.9,53.0,0.8,1.6,48.5,4.7,6.5,71.6,3.5,9.6,13.1,0.9,1.3,2.0,3.1,3.9,2014,11.3,7.2,0.99,0.61,0.56,0.62,0.15,0.6,0.08,0.28,-6.56,1.4,0.9,2.7,247.0,"9' 0""",7.3,9.75,11.75,31.0,37.0,,11.45,3.28,9,81.5,80.0,88.25,19.0,13.0
1173,Josh Huestis,Stanford,47.0,23.0,SF,36,35.2,12.5,4.9,10.8,45.1,4.1,8.4,48.3,0.8,2.4,33.8,2.0,3.2,62.7,2.8,6.4,9.2,1.3,0.7,2.2,1.3,2.4,2014,11.2,9.6,0.92,0.51,0.49,0.29,0.22,1.2,0.12,1.0,-1.15,1.9,0.6,2.1,213.0,"8' 10.5""",,0.0,0.0,32.0,,,11.06,3.29,29,79.0,78.5,85.0,18.5,
1179,Joel Embiid,Kansas,3.0,20.0,C,28,23.1,18.6,6.3,10.1,62.6,6.3,9.8,63.9,0.1,0.3,20.0,5.8,8.5,68.5,3.9,9.6,13.5,2.3,1.5,4.3,3.9,5.6,2014,11.2,6.1,1.03,0.66,0.63,0.84,0.03,1.4,0.22,0.58,-6.32,2.6,0.9,3.4,240.0,,,0.0,0.0,,,,,,3,84.0,84.0,89.0,,
1234,Kyle Anderson,Delaware,28.0,21.0,SF,35,34.7,11.8,3.8,9.7,39.4,1.2,2.8,44.0,2.6,6.9,37.6,1.5,1.9,77.8,0.9,3.0,4.0,1.0,0.9,0.3,0.9,2.8,2014,11.0,9.1,1.02,0.55,0.53,0.2,0.71,0.9,0.1,1.1,-0.65,0.3,0.8,2.6,230.0,"8' 11.5""",13.4,8.25,8.75,,,,,,30,80.5,79.5,86.75,,
1245,Spencer Dinwiddie,Colorado,29.0,21.0,SG,17,31.1,18.6,4.5,9.8,46.6,2.6,5.1,51.5,1.9,4.7,41.3,7.6,8.9,85.7,0.6,3.3,3.9,4.8,1.9,0.3,2.2,2.4,2014,14.7,7.7,1.15,0.67,0.56,0.91,0.48,3.8,0.49,2.13,2.31,0.2,1.5,1.9,205.0,"8' 7""",5.4,8.25,9.0,,,,,,38,78.0,76.5,80.25,,
1261,Shabazz Napier,Connecticut,19.0,23.0,PG,40,35.1,20.8,6.2,14.3,42.9,3.6,8.1,44.8,2.5,6.2,40.5,6.0,6.9,87.0,1.1,5.7,6.8,5.6,2.1,0.4,3.3,2.4,2014,18.0,12.4,1.0,0.59,0.52,0.48,0.43,4.9,0.39,1.71,1.05,0.3,1.8,2.1,175.0,"7' 9""",7.4,8.25,8.5,30.5,37.5,,11.6,3.2,24,73.0,71.0,75.25,15.5,22.5
1273,Marcus Smart,Oklahoma State,6.0,20.0,PG,31,32.7,20.5,6.0,14.2,42.2,4.2,8.2,51.4,1.8,6.0,29.9,6.7,9.2,72.8,1.6,5.1,6.7,5.5,3.3,0.7,3.1,3.4,2014,18.0,12.5,0.95,0.55,0.49,0.65,0.42,4.8,0.38,1.78,1.45,0.6,2.9,2.9,227.0,"8' 3""",10.6,9.0,8.75,33.0,36.0,,10.82,3.26,6,75.25,74.0,81.25,12.0,15.0
1285,DeAndre Daniels,Connecticut,50.0,22.0,SF,38,29.0,18.3,6.9,14.8,46.9,5.1,10.3,49.1,1.8,4.4,41.7,2.6,3.3,78.7,2.0,6.4,8.4,0.6,1.0,2.0,2.1,3.3,2014,13.1,10.6,0.99,0.56,0.53,0.22,0.3,0.4,0.04,0.3,-4.06,1.4,0.7,2.4,196.0,"8' 10.5""",3.9,9.25,10.5,26.5,32.0,,11.46,3.44,37,80.5,79.25,86.0,13.0,18.5
1287,Rodney Hood,Duke,16.0,22.0,SF,35,32.9,19.8,6.7,14.5,46.4,4.2,8.6,49.4,2.5,5.9,42.0,3.8,4.8,80.7,1.0,3.8,4.9,2.6,0.9,0.3,1.9,3.2,2014,16.1,11.8,1.06,0.59,0.55,0.33,0.41,2.1,0.18,1.39,-0.39,0.3,0.7,2.6,208.0,"8' 7""",7.5,8.5,8.5,29.0,36.0,,11.21,3.38,23,80.5,79.25,80.5,12.0,19.0
1302,Elfrid Payton,La Lafayette,8.0,20.0,PG,32,36.9,19.3,6.8,13.6,50.0,6.4,11.9,53.4,0.4,1.7,25.9,5.2,8.8,59.0,2.4,3.8,6.2,5.7,2.3,0.6,3.8,2.4,2014,19.3,13.7,0.89,0.54,0.52,0.65,0.12,5.8,0.42,1.52,0.04,0.6,2.3,2.4,179.0,"8' 5""",,0.0,0.0,,,,,,10,76.0,75.0,79.0,,
1312,Andrew Wiggins,Kansas,1.0,19.0,SG/SF,35,32.8,20.0,6.3,14.1,44.8,4.9,9.9,49.3,1.4,4.2,34.1,5.9,7.6,77.5,2.5,4.3,6.9,1.8,1.4,1.1,2.7,3.1,2014,17.1,12.1,0.98,0.56,0.5,0.54,0.3,1.5,0.13,0.68,-3.86,1.0,1.2,2.7,197.0,,,0.0,0.0,,,,,,1,80.0,80.0,84.0,,
1314,James Young,Kentucky,25.0,19.0,SG/SF,40,32.4,17.7,5.6,13.9,40.7,3.1,6.6,47.0,2.5,7.2,34.9,3.9,5.5,70.6,1.3,4.0,5.3,2.1,0.9,0.2,2.3,2.6,2014,14.3,11.3,0.94,0.54,0.5,0.39,0.52,1.7,0.15,0.89,-2.38,0.2,0.8,2.1,213.0,"8' 8""",5.1,9.0,9.5,28.0,35.5,,,,17,78.75,77.25,84.0,12.0,19.5
1324,Joe Harris,Virginia,36.0,23.0,SF,37,28.8,18.3,6.1,13.9,44.1,3.2,6.5,48.7,3.0,7.4,40.0,3.0,4.7,64.0,0.9,3.6,4.5,3.5,1.4,0.3,2.0,3.6,2014,12.0,9.1,1.01,0.57,0.55,0.34,0.53,2.3,0.25,1.75,0.7,0.2,0.9,2.4,215.0,"8' 4""",6.2,8.5,9.75,28.5,33.5,,11.11,3.31,33,78.25,76.75,78.0,20.5,13.5
1332,Devyn Marble,Iowa,51.0,22.0,SG,33,30.2,21.1,6.9,16.5,42.0,4.9,10.8,45.6,2.0,5.6,34.9,5.4,7.5,71.4,1.0,3.0,4.0,4.5,2.3,0.3,2.2,2.4,2014,17.0,13.2,0.95,0.53,0.48,0.46,0.34,3.6,0.27,2.07,2.09,0.2,1.8,1.9,192.0,"8' 6""",6.9,8.25,8.5,29.0,35.0,,11.32,3.28,56,78.5,77.0,81.0,23.0,17.0
