,Weight,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,Max Vert,Bench,Agility,Sprint,Drafted,name,year,heightshoes,heightbare,wingspan,reach,standvertreach,maxvertreach
19,222.0,,,,,,,,,,,Nate Lubick, 2009,80.5,,82.5,,,
60,176.0,,,,,,,,,,,Dominic Waters, 2009,73.0,,74.5,,,
74,172.0,,,,,,,,,,,Taran Buie, 2009,73.5,,76.5,,,
77,219.0,,,,,,,,,,,Travis Carroll, 2009,81.0,,80.5,,,
83,236.0,,,,,,,,,,60,Dwayne Collins, 2009,79.5,,88.5,,,
90,159.0,,,,,,,,,,,Isaiah Epps, 2009,73.5,,74.5,,,
93,183.0,,,,,,,,,,,Gary Franklin, 2009,74.0,,74.5,,,
96,214.0,,,,,,,,,,,Malcolm Gilbert, 2009,83.0,,88.0,,,
98,170.0,,,,,,,,,,,Aliun Guo, 2009,75.5,,76.5,,,
111,186.0,,,,,,,,,,,Jelan Kendrick, 2009,78.5,,81.5,,,
112,268.0,,,,,,,,,,,Markus Kennedy, 2009,80.5,,83.0,,,
119,186.0,,,,,,,,,,,Kalin Lucas, 2009,72.5,,73.5,,,
123,208.0,,,,,,,,,,,Moses Morgan, 2009,77.0,,81.0,,,
124,204.0,,,,,,,,,,,Jason Morris, 2009,76.0,,81.0,,,
137,175.0,,,,,,,,,,,Reggie Smith, 2009,73.0,,76.0,,,
140,163.0,,,,,,,,,,,Ahmad Starks, 2009,66.0,,71.5,,,
142,166.0,,,,,,,,,,,Andre Stringer, 2009,69.5,,71.0,,,
148,177.0,,,,,,,,,,,Bakari Turner, 2009,75.5,,77.0,,,
157,192.0,,,,,,,,,,,Cameron Wright, 2009,75.5,,78.0,,,
162,204.0,,,,,,,,,,,Daniel Bejarano, 2009,75.5,,77.0,,,
167,168.0,,,,,,,,,,,Gerard Coleman, 2009,77.0,,81.5,,,
170,191.0,,,,,,,,,,,Ricky Harris, 2009,73.5,,75.0,,,
172,186.0,,,,,,,,,,,Crandall Head, 2009,75.0,,80.0,,,
174,180.0,,,,,,,,,,,Keala King, 2009,77.5,,76.5,,,
177,191.0,,,,,,,,,,,Justin Martin, 2009,78.0,,82.0,,,
180,165.0,,,,,,,,,,,JT Terrell, 2009,75.0,,81.0,,,
182,193.0,,,,,,,,,,,Ralston Turner, 2009,77.5,,77.0,,,
186,183.0,,,,,,,,,,,Trey Ziegler, 2009,77.0,,81.0,,,
187,192.0,,,,,,,,,,,Daniel Alexander, 2009,80.0,,78.0,,,
189,224.0,,,,,,,,,,,Matt Bouldin, 2009,77.0,,77.0,,,
192,189.0,,,,,,,,,,,Russell Byrd, 2009,79.0,,79.0,,,
196,196.0,,,,,,,,,,29,CJ Fair, 2009,79.0,,77.0,,,
197,209.0,,,,,,,,,,,Dominique Ferguson, 2009,80.0,,87.0,,,
198,194.0,,,,,,,,,,,Michael Gbinije, 2009,78.0,,75.0,,,
200,200.0,,,,,,,,,,,Jamail Jones, 2009,78.0,,78.0,,,
201,212.0,,,,,,,,,,,DeQuan Jones, 2009,78.0,,79.0,,,
203,205.0,,,,,,,,,,,CJ Leslie, 2009,80.0,,84.0,,,
209,229.0,,,,,,,,,,,Delvon Roe, 2009,79.0,,79.0,,,
212,212.0,,,,,,,,,,,Evan Smotrycz, 2009,81.0,,77.0,,,
213,221.0,,,,,,,,,,58,DeShaun Thomas, 2009,79.0,,80.0,,,
215,247.0,,,,,,,,,,,Denzel Bowles, 2010,82.0,,84.0,,,
221,206.0,,,,,,,,,,,Mikael Hopkins, 2010,80.0,,84.0,,,
222,246.0,,,,,,,,,,,Kevin Johnson, 2010,82.0,,84.0,,,
