,Name,Team,GP,Min,Pts,FG,FGA,FG%,2Pt,2PtA,2P%,3Pt,3PtA,3P%,FTM,FTA,FT%,Off,Def,TOT,Asts,Stls,Blks,TOs,PFs,year,2,PTs/g,FGA/g,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast/g,Ast/FGA,A/TO,PPR,BK/g,STL/g,PF/g
0,Allen Iverson,76ers,60,43.7,29.3,10.3,25.9,39.8,9.1,21.8,41.9,1.2,4.2,29.1,7.4,9.1,81.2,0.7,3.5,4.2,5.1,2.6,0.2,3.7,1.6,2002.0,194,31.4,27.8,0.86,0.48,0.42,0.35,0.16,5.5,0.2,1.4,-0.71,0.2,2.8,1.7
1,Michael Jordan,Wizards,60,34.8,26.9,10.8,25.9,41.6,10.6,24.9,42.6,0.2,1.0,18.9,5.1,6.5,79.0,1.0,5.7,6.6,6.1,1.7,0.5,3.2,2.3,2002.0,40,22.9,22.1,0.84,0.46,0.42,0.25,0.04,5.2,0.23,1.91,2.04,0.4,1.4,2.0
2,Vince Carter,Raptors,60,39.8,25.3,9.5,22.3,42.8,7.5,16.9,44.1,2.1,5.3,38.7,4.2,5.2,79.8,2.4,3.0,5.3,4.1,1.6,0.8,2.6,3.3,2002.0,126,24.7,21.8,0.92,0.51,0.47,0.23,0.24,4.0,0.18,1.55,0.16,0.8,1.6,3.2
3,Tracy McGrady,Magic,76,38.3,25.8,9.5,21.0,45.1,8.1,17.3,47.0,1.4,3.8,36.4,5.5,7.4,74.8,2.0,5.9,7.9,5.3,1.6,1.0,2.5,1.8,2002.0,70,25.6,20.9,0.96,0.53,0.48,0.35,0.18,5.3,0.25,2.12,2.58,1.0,1.6,1.8
4,Nick Van Exel,Nuggets,45,38.6,22.0,8.5,20.8,40.8,6.6,15.1,43.5,1.9,5.8,33.7,3.1,4.0,78.2,0.4,3.4,3.9,8.3,0.7,0.2,2.6,1.6,2002.0,181,21.4,20.3,0.87,0.49,0.45,0.19,0.28,8.1,0.4,3.15,7.18,0.2,0.7,1.5
5,Kobe Bryant,Lakers,80,38.3,25.8,9.6,20.4,46.9,9.1,18.7,48.9,0.4,1.7,25.0,6.2,7.5,82.9,1.4,4.2,5.6,5.6,1.5,0.4,2.8,2.9,2002.0,75,25.2,20.0,0.96,0.54,0.48,0.37,0.08,5.5,0.27,1.96,2.16,0.4,1.5,2.9
6,Richard Hamilton,Wizards,63,34.9,23.4,8.8,20.1,43.5,8.5,19.4,43.8,0.3,0.8,38.1,5.6,6.3,89.0,1.4,2.7,4.0,3.2,0.7,0.3,2.5,2.5,2002.0,124,20.0,17.2,0.92,0.51,0.44,0.31,0.04,2.7,0.16,1.3,-0.87,0.2,0.6,2.2
7,Jerry Stackhouse,Pistons,76,35.3,24.6,7.9,19.9,39.7,6.6,15.4,43.0,1.3,4.5,28.7,7.5,8.7,85.8,1.2,3.6,4.8,6.1,1.2,0.6,4.0,2.5,2002.0,172,21.4,17.4,0.88,0.51,0.43,0.44,0.23,5.3,0.31,1.52,0.0,0.5,1.0,2.1
8,Shaquille O'Neal,Lakers,67,36.1,29.5,11.5,19.9,57.9,11.5,19.9,58.0,0.0,0.0,0.0,6.4,11.6,55.5,3.8,7.8,11.6,3.2,0.7,2.2,2.8,3.2,2002.0,14,27.2,18.3,1.05,0.58,0.58,0.58,0.0,3.0,0.16,1.17,-1.61,2.0,0.6,3.0
9,Chris Webber,Kings,54,38.4,24.1,9.7,19.6,49.5,9.6,19.3,49.9,0.1,0.3,26.3,4.6,6.2,74.9,2.7,7.2,10.0,4.7,1.6,1.4,2.9,3.3,2002.0,77,24.5,19.9,0.95,0.54,0.5,0.31,0.02,4.8,0.24,1.64,0.62,1.4,1.7,3.4
10,Glenn Robinson,Bucks,66,35.6,23.2,9.1,19.5,46.7,8.1,16.5,49.3,1.0,3.0,32.6,4.0,4.8,83.7,1.2,5.7,6.9,2.9,1.6,0.7,3.0,2.9,2002.0,90,20.7,17.4,0.94,0.53,0.49,0.25,0.16,2.5,0.15,0.97,-2.69,0.6,1.5,2.6
11,Jalen Rose,Bulls,30,40.6,23.4,9.1,19.3,47.0,7.8,16.0,49.1,1.2,3.3,37.0,4.1,4.9,83.9,0.5,3.6,4.1,5.2,1.1,0.5,3.2,3.4,2002.0,76,23.8,19.6,0.95,0.54,0.5,0.25,0.17,5.3,0.27,1.65,0.68,0.5,1.1,3.4
12,Antoine Walker,Celtics,81,42.1,20.6,7.6,19.3,39.4,5.1,12.0,42.5,2.5,7.4,34.4,2.7,3.7,74.1,1.7,6.5,8.2,4.7,1.4,0.4,2.9,2.7,2002.0,198,22.1,20.9,0.86,0.49,0.46,0.19,0.38,5.0,0.24,1.62,0.52,0.5,1.5,2.9
13,Gary Payton,Sonics,82,40.2,22.2,9.0,19.3,46.7,8.1,16.4,49.4,0.9,2.9,31.4,3.3,4.1,79.7,1.0,3.9,4.8,9.0,1.6,0.3,2.6,2.2,2002.0,106,22.1,19.2,0.93,0.52,0.49,0.21,0.15,9.0,0.47,3.53,8.41,0.3,1.6,2.2
14,Corliss Williamson,Pistons,78,21.9,25.3,9.8,19.2,51.0,9.7,19.0,51.2,0.0,0.1,20.0,5.7,7.1,80.5,2.8,4.8,7.6,2.2,1.2,0.6,3.3,5.4,2002.0,44,13.6,10.3,0.98,0.56,0.51,0.37,0.01,1.2,0.12,0.69,-4.39,0.3,0.6,2.9
15,Paul Pierce,Celtics,82,40.2,25.4,8.4,18.9,44.2,5.9,12.8,46.1,2.5,6.2,40.4,6.2,7.6,80.9,1.0,5.7,6.7,3.1,1.8,1.0,2.9,2.8,2002.0,35,26.1,19.5,1.0,0.56,0.51,0.4,0.33,3.2,0.16,1.08,-2.08,1.0,1.9,2.9
16,Jamal Mashburn,Hornets,40,39.9,21.6,7.6,18.7,40.7,6.6,15.9,41.5,1.0,2.8,36.6,5.3,6.1,87.6,0.8,5.3,6.1,4.3,1.1,0.2,2.8,2.0,2002.0,159,21.5,18.6,0.89,0.5,0.43,0.32,0.15,4.3,0.23,1.55,0.18,0.2,1.1,2.0
17,Isaiah Rider,Nuggets,10,17.4,21.2,8.4,18.5,45.7,7.1,15.1,47.0,1.4,3.4,40.0,3.0,3.9,76.5,2.3,5.2,7.5,2.7,0.7,0.5,3.2,2.5,2002.0,148,9.3,8.1,0.9,0.52,0.49,0.21,0.19,1.2,0.15,0.86,-3.49,0.2,0.3,1.1
18,Voshon Lenard,Nuggets,71,23.3,19.5,7.6,18.4,41.0,5.4,12.7,42.7,2.1,5.8,37.1,2.3,2.9,78.3,0.9,3.5,4.4,3.1,1.4,0.6,2.2,2.5,2002.0,164,11.5,10.8,0.89,0.49,0.47,0.16,0.31,1.8,0.17,1.43,-0.31,0.4,0.8,1.5
19,Karl Malone,Jazz,80,38.0,23.4,8.3,18.3,45.4,8.2,18.0,45.6,0.1,0.3,36.0,6.7,8.4,79.7,1.9,7.1,9.0,4.5,2.0,0.8,3.4,3.0,2002.0,132,22.4,17.5,0.91,0.53,0.46,0.46,0.02,4.3,0.24,1.3,-1.25,0.7,1.9,2.9
20,Sam Cassell,Bucks,74,35.2,22.4,8.5,18.3,46.3,7.4,15.2,48.6,1.1,3.1,34.8,4.3,5.0,86.0,0.8,3.9,4.8,7.5,1.4,0.2,2.7,3.2,2002.0,71,19.7,16.2,0.96,0.54,0.49,0.27,0.17,6.7,0.41,2.79,5.69,0.2,1.2,2.8
21,Ray Allen,Bucks,69,36.6,23.7,8.4,18.1,46.2,4.8,9.8,48.5,3.6,8.3,43.4,3.4,3.9,87.3,1.3,3.6,4.9,4.3,1.4,0.3,2.5,2.5,2002.0,11,21.8,16.6,1.06,0.59,0.56,0.21,0.46,3.9,0.24,1.7,0.79,0.3,1.3,2.3
22,Tim Duncan,Spurs,82,40.6,25.1,9.2,18.1,50.8,9.2,18.0,51.1,0.0,0.1,10.0,6.7,8.4,79.9,3.2,9.3,12.5,3.7,0.7,2.4,3.2,2.6,2002.0,38,25.5,18.3,1.0,0.57,0.51,0.47,0.01,3.7,0.2,1.17,-1.81,2.5,0.7,2.6
23,Allan Houston,Knicks,77,37.9,21.5,7.8,17.9,43.7,5.9,13.1,45.2,1.9,4.8,39.3,4.1,4.7,87.0,0.5,3.0,3.5,2.6,0.7,0.1,2.3,2.5,2002.0,65,20.4,16.9,0.96,0.54,0.49,0.26,0.27,2.5,0.15,1.12,-1.53,0.1,0.7,2.4
24,Bonzi Wells,Trailblazers,74,31.8,21.5,8.3,17.8,46.9,7.2,14.9,48.6,1.1,2.9,38.4,3.7,5.0,74.1,2.1,5.5,7.6,3.5,1.9,0.4,3.3,3.6,2002.0,114,17.0,14.0,0.92,0.53,0.5,0.28,0.17,2.8,0.2,1.07,-2.4,0.3,1.5,2.8
