,0,1
3,Joel Embiid,0.9510000000000002
35,Aaron Gordon,0.6230000000000002
6,Shabazz Napier,0.53
21,Russ Smith,0.4940000000000001
7,Marcus Smart,0.3970000000000001
17,Jabari Parker,0.3839999999999999
38,Dwight Powell,0.3660000000000001
26,Johnny O'Bryant,0.3500000000000001
11,Andrew Wiggins,0.317
10,Elfrid Payton,0.2840000000000001
16,K.J. McDaniels,0.27999999999999997
37,Tyler Ennis,0.18799999999999997
12,James Young,0.10100000000000003
31,Mitch McGary,0.08
24,Jordan Adams,0.0529999999999999
39,Julius Randle,0.03400000000000007
36,Markel Brown,0.0159999999999999
33,Nik Stauskas,0.009000000000000018
13,Joe Harris,-0.01300000000000009
32,Jarnell Stokes,-0.03499999999999999
19,Doug McDermott,-0.06699999999999993
23,Jordan Clarkson,-0.09100000000000015
14,Devyn Marble,-0.10899999999999993
5,Spencer Dinwiddie,-0.12300000000000014
27,Cleanthony Early,-0.16499999999999987
22,Gary Harris,-0.17199999999999993
20,Jordan McRae,-0.17800000000000016
18,T.J. Warren,-0.19699999999999981
9,Rodney Hood,-0.2160000000000002
25,C.J. Wilcox,-0.2509999999999999
15,Adreian Payne,-0.2689999999999997
1,Noah Vonleh,-0.3189999999999996
2,Josh Huestis,-0.3709999999999999
28,Nick Johnson,-0.3739999999999997
0,P.J. Hairston,-0.4619999999999995
8,DeAndre Daniels,-0.5799999999999998
34,Glenn Robinson,-0.5849999999999996
4,Kyle Anderson,-0.6749999999999997
29,Zach LaVine,-0.7139999999999995
30,Jerami Grant,-0.8799999999999996
