Name,pick,proj
Andrew Wiggins,1,2.154
Jabari Parker,2,2.427
Joel Embiid,3,2.479
Aaron Gordon,5,3.253
Marcus Smart,6,2.259
Julius Randle,7,1.879
Elfrid Payton,8,1.402
Doug McDermott,9,0.863
Noah Vonleh,10,1.467
Nik Stauskas,12,0.788
Zach LaVine,13,0.631
T.J. Warren,14,1.168
Rodney Hood,16,1.064
Gary Harris,17,0.937
Adreian Payne,18,1.064
Shabazz Napier,19,1.281
Tyler Ennis,20,0.667
Mitch McGary,21,0.784
Jordan Adams,23,1.094
P.J. Hairston,24,0.603
James Young,25,1.192
Jarnell Stokes,26,2.057
Glenn Robinson,27,1.043
Kyle Anderson,28,0.305
Spencer Dinwiddie,29,0.569
Jordan Clarkson,31,0.369
K.J. McDaniels,34,1.193
C.J. Wilcox,35,0.432
Joe Harris,36,0.288
Jerami Grant,37,0.862
Cleanthony Early,38,0.579
Russ Smith,39,0.148
Nick Johnson,44,0.523
Josh Huestis,47,1.03
Johnny O'Bryant,49,0.848
DeAndre Daniels,50,0.796
Devyn Marble,51,0.432
Markel Brown,55,0.751
Dwight Powell,56,1.455
Jordan McRae,60,0.625
