,Unnamed: 0,Unnamed: 0.1,Name,Team,GP,Min,Pts,FG,FGA,FG%,2Pt,2PtA,2P%,3Pt,3PtA,3P%,FTM,FTA,FT%,Off,Def,TOT,Asts,Stls,Blks,TOs,PFs,year,PTs/g,FGA/g,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast/g,Ast/FGA,A/TO,PPR,BK/g,STL/g,PF/g,Unnamed: 0_m,Weight,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,Max Vert,Bench,Agility,Sprint,Drafted,name,year_m,heightshoes,heightbare,wingspan,reach,standvertreach,maxvertreach,Weight_NA,Body Fat_NA,Hand Length_NA,Hand Width_NA,No Step Vert_NA,Max Vert_NA,Bench_NA,Agility_NA,Sprint_NA,heightshoes_NA,heightbare_NA,wingspan_NA,reach_NA,standvertreach_NA,maxvertreach_NA,Unnamed: 0_p,def100,tot200,off100,Possessions,year_p,name_p
227,12714,151,Sean Singletary,Virginia,33,34.0,21.7,6.7,15.8,42.6,4.8,10.5,45.6,1.9,5.2,36.7,6.3,7.4,85.1,0.9,3.3,4.2,6.7,2.0,0.0,4.2,2.9,2008.0,19.8,14.4,0.92,0.56,0.49,0.47,0.33,6.1,0.42,1.58,0.47,0.0,1.8,2.7,1492,184.0,"7' 11""",4.2,0.0,0.0,26.0,-1.0,18.0,-1.0,-1.0,42,Sean Singletary,2008.0,72.0,71.0,76.5,95.0,13.0,-1.0,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,428,-1.9,-4.8,-2.9,1124.0,2009.0,Sean Singletary
88,7697,1381,Ivan McFarlin,Oklahoma State,33,30.7,16.2,6.2,10.5,58.8,6.1,10.4,58.5,0.1,0.1,100.0,3.7,5.0,75.4,4.0,5.6,9.7,2.1,1.7,1.5,2.6,4.1,2005.0,12.5,8.1,1.05,0.63,0.59,0.47,0.01,1.6,0.2,0.8,-3.06,1.1,1.3,3.1,2656,229.0,"8' 9.5""",-1.0,0.0,0.0,26.5,32.0,10.0,10.64,3.27,No,Ivan McFarlin,2005.0,78.75,77.5,81.0,105.5,12.0,17.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,307,-1.4,-2.4,-0.9,170.0,2007.0,Ivan McFarlin
368,22693,1351,Anthony Davis,Kentucky,40,32.0,17.6,6.5,10.5,62.3,6.4,9.8,65.3,0.1,0.6,15.0,4.5,6.3,70.9,3.7,9.2,12.9,1.6,1.7,5.8,1.3,2.4,2012.0,14.2,8.4,1.2,0.66,0.63,0.6,0.06,1.3,0.15,1.22,-0.62,4.7,1.4,2.0,3733,222.0,"9' 0""",7.9,9.0,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,1,Anthony Davis,2012.0,82.5,81.25,89.5,108.0,-1.0,-1.0,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True,91,1.1,0.8,-0.3,6794.0,2013.0,Anthony Davis
28,938,938,Udonis Haslem,Florida,31,28.3,21.6,6.9,12.3,56.2,6.9,12.3,56.4,0.0,0.0,0.0,7.7,11.1,69.4,3.7,7.5,11.2,2.2,1.2,1.7,3.2,4.1,2002.0,16.0,9.1,1.04,0.61,0.56,0.9,0.0,1.6,0.18,0.69,-4.61,1.3,0.9,3.1,3321,250.0,"8' 11""",-1.0,0.0,0.0,28.5,33.5,22.0,11.8,3.31,No,Udonis Haslem,2002.0,79.75,79.75,83.0,107.0,15.5,20.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,86,1.2,1.0,-0.2,9657.0,2005.0,Udonis Haslem
307,16691,59,Greivis Vasquez,Maryland,28,34.2,21.9,7.4,17.2,43.3,5.1,10.9,47.1,2.3,6.3,36.9,4.6,5.5,84.9,1.1,3.9,5.1,6.9,1.7,0.4,3.8,2.2,2010.0,19.8,15.6,0.93,0.55,0.5,0.32,0.37,6.2,0.4,1.81,1.97,0.3,1.5,2.0,2530,211.0,"8' 5""",8.6,7.75,9.25,-1.0,-1.0,-1.0,-1.0,-1.0,50,Greivis Vasquez,2010.0,78.5,77.0,79.0,101.0,-1.0,-1.0,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True,141,-2.4,-0.2,2.2,9804.0,2013.0,Greivis Vasquez
11,122,122,Jannero Pargo,Arkansas,29,27.2,22.9,7.8,17.0,46.0,3.3,6.6,50.4,4.5,10.4,43.2,2.7,3.5,78.1,0.8,2.5,3.3,4.6,2.4,0.0,3.0,3.2,2002.0,16.6,12.4,1.06,0.61,0.59,0.2,0.61,3.3,0.27,1.52,0.05,0.0,1.8,2.3,1633,168.0,"8' 0""",-1.0,0.0,0.0,25.5,29.5,5.0,11.11,3.2,No,Jannero Pargo,2002.0,73.75,72.25,74.5,96.0,13.5,17.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,302,-1.4,-2.1,-0.8,2516.0,2012.0,Jannero Pargo
98,6667,351,Sean May,North Carolina,37,26.8,23.2,8.2,14.4,56.7,8.2,14.3,57.1,0.0,0.1,0.0,6.8,9.0,75.8,5.1,9.1,14.2,2.2,1.5,1.4,3.4,3.2,2005.0,17.5,10.9,1.05,0.62,0.57,0.63,0.01,1.7,0.15,0.66,-5.35,1.0,1.2,2.4,3048,259.0,"8' 9""",-1.0,0.0,0.0,30.0,33.0,12.0,11.04,3.29,13,Sean May,2005.0,80.5,79.0,85.25,105.0,15.0,18.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,107,-0.5,0.3,0.9,3332.0,2007.0,Sean May
279,15326,719,Jon Brockman,Washington,34,30.5,17.8,6.7,12.7,52.6,6.7,12.7,52.8,0.0,0.0,0.0,4.4,6.9,64.0,5.1,8.7,13.7,1.4,1.1,0.1,2.3,3.6,2009.0,14.9,10.6,0.98,0.56,0.53,0.55,0.0,1.1,0.11,0.6,-3.79,0.1,0.9,3.0,3070,252.0,,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,38,Jon Brockman,2009.0,80.0,79.0,79.75,-1.0,-1.0,-1.0,False,True,False,False,True,True,True,True,True,False,False,False,True,True,True,183,-0.6,-1.1,-0.5,2552.0,2011.0,Jon Brockman
269,15485,878,Jonny Flynn,Syracuse,38,37.3,17.0,5.6,12.2,46.0,4.5,8.6,52.1,1.2,3.6,31.7,4.6,5.9,78.6,0.6,2.1,2.7,6.5,1.4,0.2,3.3,1.4,2009.0,17.4,12.5,0.93,0.57,0.51,0.48,0.3,6.7,0.53,1.97,2.72,0.2,1.4,1.4,1520,196.0,"7' 11.5""",6.3,0.0,0.0,33.0,40.0,10.0,10.86,3.23,10,Jonny Flynn,2009.0,72.75,71.25,76.0,95.5,20.5,15.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,411,-2.9,-3.8,-0.9,9439.0,2010.0,Jonny Flynn
288,17056,424,Derrick Caracter,UTEP,27,26.7,20.1,7.8,13.8,56.7,7.6,13.0,58.5,0.2,0.8,26.7,4.2,6.3,67.2,3.8,7.7,11.5,1.6,1.4,1.2,4.1,4.3,2010.0,14.1,9.7,0.96,0.6,0.57,0.46,0.06,1.1,0.11,0.39,-7.94,0.9,1.0,3.0,3470,280.0,"8' 11.25""",12.8,9.0,10.25,25.0,30.5,22.0,12.78,3.61,60,Derrick Caracter,2010.0,81.5,80.25,84.25,107.25,12.25,17.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,385,-2.0,-3.1,-1.1,857.0,2011.0,Derrick Caracter
