,Unnamed: 0,Unnamed: 0.1,Name,Team,GP,Min,Pts,FG,FGA,FG%,2Pt,2PtA,2P%,3Pt,3PtA,3P%,FTM,FTA,FT%,Off,Def,TOT,Asts,Stls,Blks,TOs,PFs,year,PTs/g,FGA/g,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast/g,Ast/FGA,A/TO,PPR,BK/g,STL/g,PF/g,Unnamed: 0_m,Weight,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,Max Vert,Bench,Agility,Sprint,Drafted,name,year_m,heightshoes,heightbare,wingspan,reach,standvertreach,maxvertreach,Weight_NA,Body Fat_NA,Hand Length_NA,Hand Width_NA,No Step Vert_NA,Max Vert_NA,Bench_NA,Agility_NA,Sprint_NA,heightshoes_NA,heightbare_NA,wingspan_NA,reach_NA,standvertreach_NA,maxvertreach_NA,Unnamed: 0_p,def100,tot200,off100,Possessions,year_p,name_p
102,6585,269,Antoine Wright,Texas A&M,31,33.9,21.4,7.5,14.9,50.1,4.7,8.7,54.0,2.7,6.2,44.7,3.7,5.4,69.1,2.0,5.2,7.2,2.7,1.4,0.9,2.9,3.1,2005.0,17.8,12.4,1.05,0.61,0.59,0.36,0.41,2.2,0.18,0.92,-2.8,0.7,1.2,2.5,2602,203.0,"8' 8.5""",-1.0,0.0,0.0,26.5,29.5,12.0,11.45,3.41,15,Antoine Wright,2005.0,78.25,77.25,80.75,104.5,23.0,14.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,314,-1.3,-2.4,-1.2,114.0,2011.0,Antoine Wright
176,10564,93,Al Thornton,Florida State,35,31.2,24.9,8.8,16.6,53.0,7.5,13.7,54.9,1.3,2.9,44.4,6.0,7.6,79.0,3.8,5.2,9.1,0.9,1.9,1.4,3.1,3.4,2007.0,19.7,13.1,1.07,0.62,0.57,0.46,0.18,0.7,0.05,0.28,-6.52,1.1,1.5,2.7,2719,221.0,"8' 8""",5.8,0.0,0.0,35.0,41.0,9.0,11.96,3.16,14,Al Thornton,2007.0,79.0,77.75,85.0,104.0,19.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,347,-1.3,-2.7,-1.4,5354.0,2011.0,Al Thornton
208,14503,1940,Marcus Williams,St. Francis (NY),28,30.5,11.5,4.4,8.4,52.1,4.0,7.2,55.5,0.4,1.2,32.1,2.3,3.9,59.6,2.4,4.4,6.8,3.2,2.2,0.3,3.2,3.3,2008.0,9.4,6.9,0.86,0.56,0.54,0.46,0.15,2.6,0.39,1.03,-2.71,0.2,1.8,2.7,1877,215.0,"8' 1.5""",12.4,0.0,0.0,24.5,28.0,4.0,11.3,3.4,33,Marcus Williams,2006.0,75.25,74.0,79.0,97.5,14.0,17.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,312,-0.9,-2.4,-1.4,5289.0,2007.0,Marcus Williams
378,21665,323,Will Barton,Memphis,35,35.3,19.8,7.2,14.2,50.9,6.1,10.8,55.9,1.2,3.4,34.6,4.2,5.6,74.9,2.2,6.6,8.8,3.2,1.6,0.8,2.4,2.3,2012.0,18.0,12.9,1.03,0.59,0.55,0.4,0.24,2.9,0.22,1.35,-0.67,0.7,1.4,2.1,2547,174.0,"8' 6.5""",4.1,9.0,9.5,30.0,34.0,-1.0,12.5,3.6,40,Will Barton,2012.0,78.0,77.0,81.75,102.5,12.5,16.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,463,-1.7,-5.2,-3.5,3374.0,2013.0,Will Barton
245,14943,336,Alonzo Gee,Alabama,32,32.1,17.4,6.4,14.5,44.2,5.4,11.8,46.0,1.0,2.7,36.5,3.7,5.9,62.7,3.3,5.1,8.4,1.5,1.1,0.8,2.7,2.2,2009.0,15.0,12.4,0.88,0.51,0.48,0.4,0.19,1.3,0.1,0.56,-4.47,0.7,0.9,1.9,2618,225.0,,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,No,Alonzo Gee,2009.0,78.5,77.25,82.0,-1.0,-1.0,-1.0,False,True,False,False,True,True,True,True,True,False,False,False,True,True,True,173,0.8,-0.7,-1.5,6923.0,2012.0,Alonzo Gee
167,11978,1507,Stephane Lasme,Massachusetts,33,30.6,16.4,6.1,9.9,61.1,6.1,9.9,61.1,0.0,0.0,,4.3,6.9,62.2,4.6,7.0,11.6,1.0,1.1,6.2,2.9,4.1,2007.0,13.5,8.2,1.02,0.62,0.61,0.7,0.0,0.8,0.1,0.35,-5.99,5.1,0.9,3.4,2966,218.0,,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,46,Stephane Lasme,2007.0,79.0,78.5,86.75,-1.0,-1.0,-1.0,False,True,False,False,True,True,True,True,True,False,False,False,True,True,True,245,-0.8,-1.8,-1.0,1063.0,2008.0,Stephane Lasme
203,13843,1280,Patrick Beverley,Arkansas,35,33.8,13.8,4.4,10.8,41.2,2.3,5.2,44.9,2.1,5.6,37.8,2.8,4.3,64.4,1.4,6.2,7.5,2.7,1.4,0.5,2.3,2.8,2008.0,12.1,9.4,0.92,0.54,0.51,0.4,0.52,2.4,0.25,1.22,-1.15,0.5,1.3,2.4,1644,179.0,"8' 2""",-1.0,0.0,0.0,34.0,37.0,-1.0,-1.0,3.62,42,Patrick Beverley,2009.0,73.5,72.25,78.5,98.0,12.0,15.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,109,-0.5,0.4,1.0,2972.0,2013.0,Patrick Beverley
256,14629,22,Patrick Mills,Saint Mary's,26,33.3,22.1,7.5,18.7,40.2,4.4,9.6,46.4,3.1,9.1,33.8,3.9,4.6,85.9,0.6,2.3,2.9,4.7,2.6,0.3,3.5,2.0,2009.0,18.4,15.6,0.91,0.53,0.49,0.24,0.49,3.9,0.25,1.35,-0.96,0.2,2.2,1.7,1522,175.0,"7' 11""",6.9,0.0,0.0,27.5,33.0,8.0,10.87,3.1,55,Patrick Mills,2009.0,72.5,71.25,74.0,95.0,14.5,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,331,-2.4,-2.4,0.1,1047.0,2012.0,Patrick Mills
369,22768,1426,Bernard James,Florida State,35,28.0,14.9,6.2,10.2,60.6,6.2,10.2,60.6,0.0,0.0,,2.5,4.6,55.2,4.2,6.9,11.1,0.6,1.0,3.2,2.9,2.7,2012.0,10.8,7.4,0.98,0.6,0.61,0.45,0.0,0.5,0.06,0.22,-6.38,2.3,0.7,1.9,3621,230.0,"9' 0.5""",5.0,9.0,9.25,30.0,32.5,6.0,11.84,3.4,33,Bernard James,2012.0,82.0,80.75,87.0,108.5,18.5,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,204,0.2,-1.2,-1.4,1799.0,2013.0,Bernard James
423,25654,236,Jordan Williams,North Texas,29,25.8,18.4,6.1,14.9,41.0,4.5,9.7,46.1,1.6,5.2,31.4,4.6,6.0,76.5,2.5,6.7,9.3,0.6,1.2,0.8,2.7,3.2,2014.0,12.5,10.1,0.9,0.52,0.46,0.41,0.35,0.4,0.04,0.2,-6.24,0.5,0.8,2.2,3334,247.0,"8' 10.5""",12.1,9.25,10.0,25.0,30.5,10.0,12.74,3.45,45,Jordan Williams,2011.0,81.0,79.75,84.25,106.5,23.5,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,146,-1.0,-0.2,0.7,2398.0,2012.0,Jordan Williams
